epoch,TP,FN,FP,TN,Loss,Accuracy,B_accuracy,Sepecificity,Precision,Recall,F-measure,AUC
46,11,29,15,559,0.5054371146077756,0.9283387622149837,0.6244337979094077,0.9738675958188153,0.4230769230769231,0.275,0.33333333333333337,0.775609756097561
47,9,31,22,552,0.5709303631214425,0.9136807817589576,0.5933362369337979,0.9616724738675958,0.2903225806451613,0.225,0.2535211267605634,0.7505226480836237
48,7,33,20,554,0.6074687851592898,0.9136807817589576,0.5700783972125435,0.9651567944250871,0.25925925925925924,0.175,0.208955223880597,0.7214285714285713
49,8,32,15,559,0.5970973750227131,0.9234527687296417,0.5869337979094077,0.9738675958188153,0.34782608695652173,0.2,0.253968253968254,0.7271341463414633
50,12,28,22,552,0.512393094257762,0.9185667752442996,0.6308362369337979,0.9616724738675958,0.35294117647058826,0.3,0.3243243243243243,0.7780923344947734
51,9,31,18,556,0.5469276817360272,0.9201954397394136,0.5968205574912893,0.9686411149825784,0.3333333333333333,0.225,0.26865671641791045,0.7630226480836236
52,11,29,20,554,0.5477253018567959,0.9201954397394136,0.6200783972125435,0.9651567944250871,0.3548387096774194,0.275,0.3098591549295775,0.757404181184669
53,9,31,17,557,0.5935557329978717,0.9218241042345277,0.597691637630662,0.9703832752613241,0.34615384615384615,0.225,0.27272727272727276,0.7353222996515679
54,9,31,24,550,0.5417798246645058,0.9104234527687296,0.5915940766550523,0.9581881533101045,0.2727272727272727,0.225,0.24657534246575344,0.7757839721254356
55,9,31,21,553,0.5387939884443768,0.9153094462540716,0.5942073170731708,0.9634146341463414,0.3,0.225,0.2571428571428572,0.7877177700348433
56,9,31,17,557,0.5789459226439552,0.9218241042345277,0.597691637630662,0.9703832752613241,0.34615384615384615,0.225,0.27272727272727276,0.7444686411149826
57,9,31,19,555,0.5784323562829135,0.9185667752442996,0.5959494773519164,0.9668989547038328,0.32142857142857145,0.225,0.2647058823529412,0.7554878048780488
58,11,29,27,547,0.5764065712379912,0.9087947882736156,0.6139808362369339,0.9529616724738676,0.2894736842105263,0.275,0.28205128205128205,0.7432491289198606
59,12,28,20,554,0.6103220637931372,0.9218241042345277,0.6325783972125435,0.9651567944250871,0.375,0.3,0.33333333333333326,0.7071864111498258
60,13,27,16,558,0.5296683634747751,0.9299674267100977,0.6485627177700348,0.9721254355400697,0.4482758620689655,0.325,0.3768115942028986,0.7570993031358885
61,11,29,17,557,0.5641871388109091,0.9250814332247557,0.622691637630662,0.9703832752613241,0.39285714285714285,0.275,0.32352941176470584,0.7501306620209058
62,12,28,17,557,0.624951116197432,0.9267100977198697,0.635191637630662,0.9703832752613241,0.41379310344827586,0.3,0.34782608695652173,0.7233885017421603
63,10,30,21,553,0.6555487599088035,0.9169381107491856,0.6067073170731707,0.9634146341463414,0.3225806451612903,0.25,0.28169014084507044,0.7167682926829269
64,7,33,17,557,0.6190756579545753,0.9185667752442996,0.572691637630662,0.9703832752613241,0.2916666666666667,0.175,0.21875,0.7387630662020905
65,8,32,23,551,0.6046337392511002,0.9104234527687296,0.5799651567944251,0.9599303135888502,0.25806451612903225,0.2,0.22535211267605634,0.7574477351916377
66,9,31,19,555,0.5719832745264284,0.9185667752442996,0.5959494773519164,0.9668989547038328,0.32142857142857145,0.225,0.2647058823529412,0.7740853658536584
67,11,29,22,552,0.6012384741916321,0.9169381107491856,0.6183362369337979,0.9616724738675958,0.3333333333333333,0.275,0.3013698630136986,0.7594512195121952
68,12,28,18,556,0.5699738610293328,0.9250814332247557,0.6343205574912892,0.9686411149825784,0.4,0.3,0.34285714285714286,0.7718641114982578
69,8,32,13,561,0.5813765236448186,0.9267100977198697,0.5886759581881533,0.9773519163763066,0.38095238095238093,0.2,0.2622950819672132,0.7583623693379791
70,10,30,19,555,0.5478988541096138,0.9201954397394136,0.6084494773519165,0.9668989547038328,0.3448275862068966,0.25,0.2898550724637681,0.7870644599303136
71,9,31,24,550,0.5988094526498268,0.9104234527687296,0.5915940766550523,0.9581881533101045,0.2727272727272727,0.225,0.24657534246575344,0.7513501742160279
72,7,33,14,560,0.6100251860795348,0.9234527687296417,0.5753048780487805,0.975609756097561,0.3333333333333333,0.175,0.22950819672131145,0.7369773519163764
73,8,32,16,558,0.6153877693228423,0.9218241042345277,0.5860627177700348,0.9721254355400697,0.3333333333333333,0.2,0.25,0.7349303135888502
74,10,30,19,555,0.6360725055523896,0.9201954397394136,0.6084494773519165,0.9668989547038328,0.3448275862068966,0.25,0.2898550724637681,0.7332317073170731
